강좌ID,강좌명,카테고리,강사명,학습시간,난이도,오픈일,상태
C001,언어 강좌 1,언어,한강사,4,고급,2026-02-28,종료
C002,기술 강좌 2,리더십,한강사,4,중급,2025-07-08,종료
C003,직장 예절 강좌 3,직장 예절,이강사,8,초급,2025-12-27,진행중
C004,기술 강좌 4,기본소양,이강사,6,초급,2026-01-29,진행중
C005,기술 강좌 5,리더십,김강사,4,초급,2025-07-06,진행중
C006,리더십 강좌 6,기본소양,정강사,4,초급,2026-02-05,준비중
C007,직장 예절 강좌 7,직장 예절,박강사,2,고급,2025-12-10,준비중
C008,직장 예절 강좌 8,기본소양,최강사,8,초급,2025-11-28,준비중
C009,직장 예절 강좌 9,언어,이강사,10,중급,2026-04-21,준비중
C010,언어 강좌 10,언어,이강사,8,중급,2025-07-29,종료
C011,언어 강좌 11,기본소양,김강사,10,초급,2026-05-30,종료
C012,기본소양 강좌 12,리더십,김강사,12,중급,2025-08-14,준비중
C013,직무 스킬 강좌 13,리더십,김강사,2,중급,2025-10-15,종료
C014,직장 예절 강좌 14,언어,김강사,4,초급,2026-06-03,진행중
C015,직장 예절 강좌 15,언어,최강사,12,중급,2026-05-14,준비중
C016,기본소양 강좌 16,리더십,정강사,4,중급,2025-12-06,준비중
C017,직장 예절 강좌 17,기본소양,박강사,8,초급,2025-09-10,종료
C018,기본소양 강좌 18,직장 예절,박강사,2,고급,2026-05-14,종료
C019,직무 스킬 강좌 19,직무 스킬,한강사,4,중급,2025-08-15,진행중
C020,직무 스킬 강좌 20,언어,최강사,2,중급,2026-04-05,진행중
C021,언어 강좌 21,리더십,최강사,12,중급,2026-02-20,진행중
C022,기술 강좌 22,직장 예절,이강사,2,초급,2026-06-05,종료
C023,리더십 강좌 23,직장 예절,박강사,10,중급,2025-10-25,진행중
C024,직무 스킬 강좌 24,언어,한강사,10,중급,2026-04-02,준비중
C025,기술 강좌 25,기본소양,박강사,12,중급,2025-06-26,준비중
C026,직무 스킬 강좌 26,직장 예절,박강사,10,고급,2026-06-05,종료
C027,기술 강좌 27,기술,박강사,8,고급,2026-01-28,종료
C028,직무 스킬 강좌 28,기본소양,한강사,6,중급,2025-11-29,준비중
C029,직장 예절 강좌 29,리더십,박강사,10,초급,2025-07-20,종료
C030,기본소양 강좌 30,기술,박강사,8,초급,2026-05-22,진행중
C031,기술 강좌 31,직무 스킬,이강사,12,중급,2025-08-22,종료
C032,직장 예절 강좌 32,기술,정강사,6,고급,2026-01-01,종료
C033,리더십 강좌 33,리더십,정강사,4,중급,2026-05-29,종료
C034,기술 강좌 34,직무 스킬,정강사,2,초급,2025-09-19,준비중
C035,기본소양 강좌 35,직장 예절,한강사,2,초급,2025-07-28,종료
C036,기본소양 강좌 36,언어,박강사,2,중급,2026-03-27,준비중
C037,직장 예절 강좌 37,직무 스킬,한강사,8,초급,2025-07-18,준비중
C038,직무 스킬 강좌 38,언어,한강사,8,중급,2025-08-24,진행중
C039,언어 강좌 39,언어,박강사,6,중급,2026-04-10,진행중
C040,언어 강좌 40,리더십,김강사,4,고급,2026-02-27,종료
C041,직장 예절 강좌 41,언어,한강사,2,고급,2026-04-09,준비중
C042,직무 스킬 강좌 42,직무 스킬,김강사,2,고급,2025-08-06,준비중
C043,직장 예절 강좌 43,기본소양,한강사,6,고급,2025-12-14,종료
C044,기술 강좌 44,언어,김강사,8,중급,2025-10-23,준비중
C045,기술 강좌 45,언어,한강사,2,초급,2025-08-26,종료
C046,기술 강좌 46,기본소양,이강사,4,초급,2026-02-08,종료
C047,직무 스킬 강좌 47,기본소양,한강사,10,고급,2025-08-12,진행중
C048,기술 강좌 48,언어,정강사,10,고급,2025-07-22,진행중
C049,리더십 강좌 49,직장 예절,박강사,6,중급,2025-08-16,준비중
C050,언어 강좌 50,기술,박강사,12,중급,2025-06-16,종료
