수강번호,학습자ID,강좌ID,등록일,시작일,완료일,진행률(%),상태,학습시간
E00001,L0026,C020,2025-12-29,2025-12-29,,63,진행중,97
E00002,L0052,C029,2025-10-19,,,0,미시작,30
E00003,L0200,C025,2026-01-31,2026-01-31,2026-02-27,100,완료,34
E00004,L0144,C048,2026-01-29,2026-01-29,,88,진행중,299
E00005,L0029,C031,2026-04-05,2026-04-05,2026-04-20,100,완료,525
E00006,L0150,C001,2026-02-18,2026-02-18,,41,중단,221
E00007,L0148,C023,2025-11-24,2025-11-24,2025-12-14,100,완료,491
E00008,L0182,C043,2025-11-04,2025-11-04,2025-11-26,100,완료,353
E00009,L0162,C019,2026-03-04,2026-03-04,2026-04-17,100,완료,180
E00010,L0091,C022,2025-07-24,2025-07-24,,65,진행중,110
E00011,L0062,C021,2025-07-07,2025-07-07,,81,중단,359
E00012,L0024,C017,2025-11-21,2025-11-21,2025-12-22,100,완료,254
E00013,L0091,C012,2026-05-03,,,0,미시작,110
E00014,L0059,C018,2025-08-23,2025-08-23,2025-09-06,100,완료,56
E00015,L0160,C047,2026-01-20,2026-01-20,2026-03-10,100,완료,111
E00016,L0001,C003,2025-10-16,2025-10-16,2025-11-14,100,완료,170
E00017,L0071,C007,2025-11-06,2025-11-06,2025-12-09,100,완료,4
E00018,L0120,C033,2026-03-28,2026-03-28,2026-05-03,100,완료,67
E00019,L0126,C022,2025-12-22,2025-12-22,,66,진행중,85
E00020,L0128,C034,2026-02-08,2026-02-08,2026-03-26,100,완료,9
E00021,L0004,C032,2026-06-07,2026-06-07,,18,진행중,153
E00022,L0047,C026,2025-12-28,2025-12-28,2026-02-05,100,완료,425
E00023,L0011,C025,2025-12-27,2025-12-27,2026-02-05,100,완료,423
E00024,L0004,C029,2026-02-02,2026-02-02,,70,진행중,555
E00025,L0021,C044,2025-07-04,,,0,미시작,123
E00026,L0008,C003,2025-07-19,2025-07-19,,43,진행중,197
E00027,L0094,C011,2025-06-18,2025-06-18,,81,중단,198
E00028,L0141,C022,2025-06-23,2025-06-23,2025-07-20,100,완료,7
E00029,L0160,C027,2025-12-25,2025-12-25,,85,중단,230
E00030,L0084,C010,2025-12-02,2025-12-02,,62,진행중,422
E00031,L0035,C038,2025-08-24,2025-08-24,,96,진행중,195
E00032,L0176,C006,2026-03-26,2026-03-26,,53,중단,123
E00033,L0142,C004,2025-10-23,2025-10-23,2025-10-29,100,완료,21
E00034,L0133,C028,2026-01-06,2026-01-06,,83,진행중,131
E00035,L0161,C049,2026-05-28,,,0,미시작,185
E00036,L0050,C021,2026-05-18,2026-05-18,,80,중단,355
E00037,L0172,C008,2026-04-04,2026-04-04,,60,진행중,180
E00038,L0058,C011,2026-02-20,,,0,미시작,230
E00039,L0044,C014,2026-01-11,,,0,미시작,140
E00040,L0010,C018,2026-02-09,2026-02-09,,58,중단,72
E00041,L0037,C014,2026-03-08,2026-03-08,2026-04-25,100,완료,174
E00042,L0074,C024,2026-04-15,,,0,미시작,463
E00043,L0191,C030,2026-05-05,2026-05-05,2026-05-10,100,완료,7
E00044,L0161,C049,2025-06-23,2025-06-23,2025-07-04,100,완료,155
E00045,L0068,C026,2025-07-13,2025-07-13,,14,진행중,486
E00046,L0193,C032,2025-08-05,2025-08-05,,35,진행중,33
E00047,L0076,C034,2025-06-21,2025-06-21,,65,진행중,35
E00048,L0192,C031,2025-10-05,2025-10-05,,13,진행중,87
E00049,L0154,C016,2025-09-26,2025-09-26,2025-09-26,100,완료,15
E00050,L0148,C046,2025-09-09,2025-09-09,,52,진행중,228
E00051,L0049,C044,2025-09-11,2025-09-11,2025-11-09,100,완료,369
E00052,L0198,C029,2025-12-13,2025-12-13,2026-01-14,100,완료,446
E00053,L0059,C040,2026-02-26,2026-02-26,2026-03-23,100,완료,189
E00054,L0118,C014,2026-02-09,2026-02-09,,15,진행중,97
E00055,L0123,C034,2025-11-27,2025-11-27,2025-12-10,100,완료,7
E00056,L0085,C004,2025-10-07,2025-10-07,2025-11-09,100,완료,242
E00057,L0109,C026,2025-07-20,2025-07-20,,85,진행중,572
E00058,L0002,C013,2025-10-12,2025-10-12,,45,중단,47
E00059,L0198,C005,2025-08-05,2025-08-05,2025-09-10,100,완료,48
E00060,L0155,C024,2025-12-07,2025-12-07,2026-01-22,100,완료,433
E00061,L0148,C005,2026-02-19,2026-02-19,2026-03-01,100,완료,96
E00062,L0094,C031,2025-07-05,2025-07-05,2025-07-28,100,완료,703
E00063,L0128,C024,2026-03-30,2026-03-30,,27,중단,514
E00064,L0164,C039,2025-08-03,2025-08-03,2025-08-08,100,완료,231
E00065,L0100,C031,2025-11-08,,,0,미시작,87
E00066,L0046,C030,2026-03-09,2026-03-09,,19,진행중,368
E00067,L0129,C010,2026-03-02,,,0,미시작,214
E00068,L0139,C042,2025-12-13,2025-12-13,2025-12-14,100,완료,78
E00069,L0113,C022,2025-06-16,2025-06-16,2025-06-22,100,완료,112
E00070,L0004,C040,2025-07-17,2025-07-17,2025-08-23,100,완료,8
E00071,L0109,C048,2026-04-21,2026-04-21,2026-04-30,100,완료,521
E00072,L0090,C020,2025-07-11,2025-07-11,,78,중단,91
E00073,L0079,C030,2025-11-11,2025-11-11,2025-11-24,100,완료,220
E00074,L0029,C012,2025-08-09,2025-08-09,,18,진행중,354
E00075,L0162,C044,2026-02-04,2026-02-04,2026-04-02,100,완료,375
E00076,L0045,C042,2025-11-17,2025-11-17,2025-12-16,100,완료,106
E00077,L0178,C005,2026-01-22,2026-01-22,,71,진행중,124
E00078,L0111,C015,2026-01-16,2026-01-16,,19,진행중,262
E00079,L0200,C017,2026-03-27,2026-03-27,,33,진행중,262
E00080,L0195,C046,2025-07-22,2025-07-22,,47,진행중,120
E00081,L0172,C038,2025-12-30,2025-12-30,2026-01-21,100,완료,141
E00082,L0005,C007,2026-02-07,,,0,미시작,70
E00083,L0096,C036,2026-05-08,2026-05-08,2026-05-27,100,완료,33
E00084,L0041,C049,2026-03-15,2026-03-15,,39,진행중,187
E00085,L0118,C050,2026-05-09,2026-05-09,2026-05-16,100,완료,553
E00086,L0169,C030,2025-10-02,2025-10-02,,45,진행중,153
E00087,L0178,C019,2025-09-15,2025-09-15,,47,진행중,0
E00088,L0066,C012,2026-03-18,2026-03-18,2026-04-13,100,완료,271
E00089,L0060,C027,2025-08-31,2025-08-31,,65,중단,179
E00090,L0001,C045,2025-09-13,,,0,미시작,34
E00091,L0042,C013,2026-05-05,2026-05-05,,44,진행중,37
E00092,L0012,C042,2025-08-05,2025-08-05,2025-08-07,100,완료,60
E00093,L0152,C042,2025-12-29,2025-12-29,2025-12-31,100,완료,96
E00094,L0147,C039,2026-01-09,2026-01-09,,40,진행중,244
E00095,L0076,C007,2025-12-29,2025-12-29,,87,중단,77
E00096,L0043,C016,2026-03-27,2026-03-27,2026-04-14,100,완료,189
E00097,L0057,C036,2026-05-14,2026-05-14,2026-07-09,100,완료,20
E00098,L0037,C036,2025-12-22,2025-12-22,2026-01-10,100,완료,115
E00099,L0031,C041,2025-12-12,2025-12-12,,86,진행중,94
E00100,L0125,C035,2026-05-25,2026-05-25,,98,진행중,5
E00101,L0166,C018,2025-10-24,2025-10-24,,60,중단,65
E00102,L0009,C009,2026-05-11,2026-05-11,2026-06-17,100,완료,127
E00103,L0127,C010,2025-09-20,2025-09-20,,80,중단,390
E00104,L0174,C014,2025-10-25,2025-10-25,2025-11-18,100,완료,230
E00105,L0165,C035,2026-05-07,2026-05-07,2026-07-03,100,완료,107
E00106,L0071,C014,2025-09-21,,,0,미시작,205
E00107,L0117,C018,2025-07-01,2025-07-01,,79,진행중,106
E00108,L0108,C020,2026-03-13,2026-03-13,2026-03-15,100,완료,119
E00109,L0134,C046,2025-12-07,2025-12-07,2025-12-24,100,완료,156
E00110,L0015,C006,2026-03-29,2026-03-29,,67,진행중,94
E00111,L0156,C042,2025-07-04,2025-07-04,,15,진행중,72
E00112,L0188,C029,2025-07-06,2025-07-06,2025-08-08,100,완료,32
E00113,L0102,C019,2025-07-18,2025-07-18,,51,진행중,155
E00114,L0129,C023,2025-11-05,2025-11-05,2026-01-02,100,완료,236
E00115,L0162,C017,2025-08-10,2025-08-10,,91,진행중,0
E00116,L0195,C050,2026-03-02,2026-03-02,,20,진행중,1
E00117,L0136,C039,2025-07-26,2025-07-26,,96,진행중,95
E00118,L0026,C028,2025-10-26,2025-10-26,,48,진행중,355
E00119,L0083,C038,2026-05-26,2026-05-26,2026-06-26,100,완료,297
E00120,L0104,C004,2026-02-26,2026-02-26,,27,중단,333
E00121,L0056,C044,2025-10-18,2025-10-18,2025-12-09,100,완료,366
E00122,L0024,C046,2026-01-02,2026-01-02,,43,진행중,120
E00123,L0164,C004,2026-03-06,2026-03-06,,10,진행중,127
E00124,L0039,C004,2025-12-27,2025-12-27,2026-02-08,100,완료,30
E00125,L0067,C020,2025-08-12,2025-08-12,,41,중단,79
E00126,L0015,C012,2025-06-16,2025-06-16,2025-08-03,100,완료,48
E00127,L0154,C018,2025-09-16,2025-09-16,,76,중단,107
E00128,L0187,C035,2025-10-21,2025-10-21,,78,진행중,57
E00129,L0162,C042,2025-08-07,2025-08-07,2025-08-17,100,완료,109
E00130,L0170,C001,2025-12-24,2025-12-24,2026-01-27,100,완료,116
E00131,L0064,C014,2025-09-23,2025-09-23,,95,진행중,48
E00132,L0081,C001,2026-04-08,2026-04-08,,69,진행중,129
E00133,L0095,C027,2026-05-26,2026-05-26,2026-07-11,100,완료,268
E00134,L0160,C049,2025-06-11,2025-06-11,,49,진행중,340
