수강번호,학습자ID,강좌ID,시험점수,과제점수,참여도,합격여부,평가일
E00003,L0200,C025,63,94,보통,합격,2026-02-27
E00005,L0029,C031,88,85,낮음,불합격,2026-04-20
E00007,L0148,C023,91,96,높음,합격,2025-12-14
E00008,L0182,C043,91,70,낮음,합격,2025-11-26
E00009,L0162,C019,88,75,보통,합격,2026-04-17
E00012,L0024,C017,66,94,보통,합격,2025-12-22
E00014,L0059,C018,64,74,보통,합격,2025-09-06
E00015,L0160,C047,60,83,높음,합격,2026-03-10
E00016,L0001,C003,82,87,보통,합격,2025-11-14
E00017,L0071,C007,85,92,낮음,합격,2025-12-09
E00018,L0120,C033,94,95,높음,불합격,2026-05-03
E00020,L0128,C034,87,97,낮음,합격,2026-03-26
E00022,L0047,C026,68,73,높음,합격,2026-02-05
E00023,L0011,C025,82,76,보통,합격,2026-02-05
E00028,L0141,C022,66,79,높음,합격,2025-07-20
E00033,L0142,C004,63,79,높음,합격,2025-10-29
E00041,L0037,C014,64,76,높음,합격,2026-04-25
E00043,L0191,C030,89,96,높음,합격,2026-05-10
E00044,L0161,C049,66,75,보통,합격,2025-07-04
E00049,L0154,C016,74,82,높음,합격,2025-09-26
E00051,L0049,C044,68,84,높음,합격,2025-11-09
E00052,L0198,C029,66,75,높음,합격,2026-01-14
E00053,L0059,C040,96,73,보통,불합격,2026-03-23
E00055,L0123,C034,69,73,보통,합격,2025-12-10
E00056,L0085,C004,82,90,낮음,합격,2025-11-09
E00059,L0198,C005,77,72,낮음,합격,2025-09-10
E00060,L0155,C024,80,82,보통,합격,2026-01-22
E00061,L0148,C005,66,96,높음,합격,2026-03-01
E00062,L0094,C031,92,75,보통,합격,2025-07-28
E00064,L0164,C039,92,70,보통,합격,2025-08-08
E00068,L0139,C042,81,77,보통,합격,2025-12-14
E00069,L0113,C022,64,83,보통,합격,2025-06-22
E00070,L0004,C040,67,76,높음,합격,2025-08-23
E00071,L0109,C048,71,80,낮음,합격,2026-04-30
E00073,L0079,C030,77,71,높음,합격,2025-11-24
E00075,L0162,C044,98,85,낮음,합격,2026-04-02
E00076,L0045,C042,72,97,보통,불합격,2025-12-16
E00081,L0172,C038,62,87,보통,합격,2026-01-21
E00083,L0096,C036,76,82,낮음,합격,2026-05-27
E00085,L0118,C050,65,82,보통,합격,2026-05-16
E00088,L0066,C012,74,91,높음,합격,2026-04-13
E00092,L0012,C042,85,91,높음,합격,2025-08-07
E00093,L0152,C042,94,94,보통,합격,2025-12-31
E00096,L0043,C016,75,88,높음,불합격,2026-04-14
E00097,L0057,C036,73,89,보통,합격,2026-07-09
E00098,L0037,C036,80,76,보통,합격,2026-01-10
E00102,L0009,C009,92,72,보통,합격,2026-06-17
E00104,L0174,C014,74,71,높음,불합격,2025-11-18
