학습자ID,이름,부서,직급,가입일,회사
L0001,직원1,마케팅팀,부장,2025-09-13,회사3
L0002,직원2,재무팀,부장,2026-02-28,회사2
L0003,직원3,개발팀,대리,2026-03-15,회사1
L0004,직원4,마케팅팀,대리,2026-01-12,회사1
L0005,직원5,영업팀,과장,2025-08-21,회사2
L0006,직원6,마케팅팀,부장,2026-01-01,회사2
L0007,직원7,기획팀,부장,2025-10-18,회사1
L0008,직원8,인사팀,대리,2026-04-13,회사3
L0009,직원9,영업팀,과장,2025-12-05,회사3
L0010,직원10,기획팀,대리,2025-06-12,회사3
L0011,직원11,마케팅팀,사원,2026-01-31,회사1
L0012,직원12,개발팀,부장,2025-07-17,회사3
L0013,직원13,영업팀,과장,2026-03-14,회사2
L0014,직원14,영업팀,주임,2025-09-19,회사2
L0015,직원15,재무팀,주임,2025-07-06,회사3
L0016,직원16,마케팅팀,과장,2025-09-20,회사3
L0017,직원17,개발팀,사원,2026-04-22,회사2
L0018,직원18,기획팀,주임,2025-09-24,회사2
L0019,직원19,재무팀,주임,2025-11-05,회사2
L0020,직원20,영업팀,과장,2025-09-14,회사3
L0021,직원21,기획팀,과장,2025-12-03,회사1
L0022,직원22,재무팀,주임,2026-04-19,회사2
L0023,직원23,인사팀,과장,2025-12-05,회사1
L0024,직원24,인사팀,부장,2026-05-27,회사1
L0025,직원25,인사팀,사원,2025-07-19,회사1
L0026,직원26,인사팀,과장,2026-01-26,회사3
L0027,직원27,개발팀,대리,2026-03-22,회사3
L0028,직원28,개발팀,사원,2025-09-23,회사2
L0029,직원29,영업팀,사원,2026-05-14,회사3
L0030,직원30,인사팀,과장,2026-05-09,회사3
L0031,직원31,기획팀,부장,2026-03-04,회사2
L0032,직원32,개발팀,대리,2025-10-27,회사1
L0033,직원33,기획팀,대리,2025-09-27,회사1
L0034,직원34,영업팀,대리,2025-11-16,회사3
L0035,직원35,영업팀,주임,2025-12-14,회사3
L0036,직원36,인사팀,과장,2026-03-07,회사2
L0037,직원37,재무팀,부장,2026-01-19,회사3
L0038,직원38,재무팀,과장,2026-05-29,회사3
L0039,직원39,개발팀,대리,2026-03-17,회사2
L0040,직원40,영업팀,부장,2026-04-10,회사1
L0041,직원41,재무팀,과장,2026-05-14,회사2
L0042,직원42,기획팀,대리,2026-02-03,회사2
L0043,직원43,마케팅팀,사원,2025-10-23,회사2
L0044,직원44,인사팀,사원,2025-09-01,회사2
L0045,직원45,인사팀,과장,2025-10-21,회사3
L0046,직원46,기획팀,대리,2026-01-25,회사2
L0047,직원47,재무팀,사원,2025-08-08,회사2
L0048,직원48,마케팅팀,대리,2026-01-02,회사1
L0049,직원49,마케팅팀,사원,2025-07-28,회사1
L0050,직원50,영업팀,과장,2025-09-16,회사2
L0051,직원51,영업팀,대리,2026-02-18,회사1
L0052,직원52,인사팀,사원,2025-12-06,회사1
L0053,직원53,영업팀,주임,2025-11-03,회사2
L0054,직원54,재무팀,사원,2026-02-05,회사2
L0055,직원55,재무팀,과장,2025-11-05,회사2
L0056,직원56,마케팅팀,대리,2025-12-09,회사3
L0057,직원57,인사팀,부장,2026-03-05,회사2
L0058,직원58,기획팀,대리,2025-10-14,회사1
L0059,직원59,인사팀,과장,2025-12-06,회사2
L0060,직원60,재무팀,대리,2026-01-14,회사3
L0061,직원61,마케팅팀,대리,2025-06-30,회사3
L0062,직원62,개발팀,과장,2025-06-24,회사3
L0063,직원63,마케팅팀,사원,2026-02-03,회사3
